2021-12-22 15:37:19	scdCo2 : 1009 scdTemperature : 30.22 scdHumidity : 24.20	 bmeTemperature : 32.38 bmePressure : 993.96 bmeHumidity : 18.68 bmeGas : 20.78 bmeAltitude : 161.77
2021-12-22 15:37:24	scdCo2 : 1007 scdTemperature : 30.19 scdHumidity : 24.22	 bmeTemperature : 32.37 bmePressure : 993.97 bmeHumidity : 18.70 bmeGas : 21.28 bmeAltitude : 161.69
2021-12-22 15:37:30	scdCo2 : 1008 scdTemperature : 30.21 scdHumidity : 24.08	 bmeTemperature : 32.38 bmePressure : 993.98 bmeHumidity : 18.54 bmeGas : 21.76 bmeAltitude : 161.60
2021-12-22 15:37:36	scdCo2 : 1007 scdTemperature : 30.22 scdHumidity : 24.09	 bmeTemperature : 32.39 bmePressure : 993.99 bmeHumidity : 18.37 bmeGas : 22.24 bmeAltitude : 161.60
2021-12-22 15:37:42	scdCo2 : 1007 scdTemperature : 30.20 scdHumidity : 24.04	 bmeTemperature : 32.41 bmePressure : 993.98 bmeHumidity : 18.36 bmeGas : 22.64 bmeAltitude : 161.60
2021-12-22 15:37:48	scdCo2 : 1007 scdTemperature : 30.23 scdHumidity : 24.00	 bmeTemperature : 32.44 bmePressure : 993.98 bmeHumidity : 18.38 bmeGas : 23.56 bmeAltitude : 161.52
2021-12-22 15:37:53	scdCo2 : 1007 scdTemperature : 30.23 scdHumidity : 23.98	 bmeTemperature : 32.48 bmePressure : 994.00 bmeHumidity : 18.36 bmeGas : 24.01 bmeAltitude : 161.43
2021-12-22 15:37:59	scdCo2 : 1006 scdTemperature : 30.30 scdHumidity : 23.89	 bmeTemperature : 32.52 bmePressure : 994.01 bmeHumidity : 18.29 bmeGas : 24.40 bmeAltitude : 161.35
2021-12-22 15:38:05	scdCo2 : 1004 scdTemperature : 30.32 scdHumidity : 23.74	 bmeTemperature : 32.56 bmePressure : 994.03 bmeHumidity : 18.14 bmeGas : 24.70 bmeAltitude : 161.09
2021-12-22 15:38:11	scdCo2 : 1002 scdTemperature : 30.32 scdHumidity : 23.75	 bmeTemperature : 32.59 bmePressure : 994.04 bmeHumidity : 18.10 bmeGas : 25.11 bmeAltitude : 161.18
2021-12-22 15:38:17	scdCo2 : 1002 scdTemperature : 30.31 scdHumidity : 23.72	 bmeTemperature : 32.62 bmePressure : 994.03 bmeHumidity : 18.09 bmeGas : 25.48 bmeAltitude : 161.26
2021-12-22 15:38:22	scdCo2 : 1002 scdTemperature : 30.35 scdHumidity : 23.74	 bmeTemperature : 32.64 bmePressure : 994.02 bmeHumidity : 18.07 bmeGas : 26.00 bmeAltitude : 161.35
2021-12-22 15:38:28	scdCo2 : 1003 scdTemperature : 30.36 scdHumidity : 23.66	 bmeTemperature : 32.64 bmePressure : 994.01 bmeHumidity : 17.99 bmeGas : 26.28 bmeAltitude : 161.52
2021-12-22 15:38:34	scdCo2 : 1003 scdTemperature : 30.36 scdHumidity : 23.64	 bmeTemperature : 32.62 bmePressure : 993.99 bmeHumidity : 18.02 bmeGas : 26.66 bmeAltitude : 161.60
2021-12-22 15:38:40	scdCo2 : 1002 scdTemperature : 30.36 scdHumidity : 23.60	 bmeTemperature : 32.61 bmePressure : 993.98 bmeHumidity : 18.13 bmeGas : 27.08 bmeAltitude : 161.77
2021-12-22 15:38:46	scdCo2 : 1002 scdTemperature : 30.33 scdHumidity : 23.63	 bmeTemperature : 32.60 bmePressure : 993.96 bmeHumidity : 18.22 bmeGas : 27.34 bmeAltitude : 161.85
2021-12-22 15:38:51	scdCo2 : 1003 scdTemperature : 30.32 scdHumidity : 23.54	 bmeTemperature : 32.62 bmePressure : 993.97 bmeHumidity : 18.24 bmeGas : 27.70 bmeAltitude : 161.69
2021-12-22 15:38:57	scdCo2 : 1005 scdTemperature : 30.38 scdHumidity : 23.56	 bmeTemperature : 32.65 bmePressure : 993.98 bmeHumidity : 18.05 bmeGas : 28.19 bmeAltitude : 161.69
2021-12-22 15:39:03	scdCo2 : 1005 scdTemperature : 30.41 scdHumidity : 23.50	 bmeTemperature : 32.67 bmePressure : 993.99 bmeHumidity : 18.00 bmeGas : 28.53 bmeAltitude : 161.60
2021-12-22 15:39:09	scdCo2 : 1006 scdTemperature : 30.41 scdHumidity : 23.52	 bmeTemperature : 32.68 bmePressure : 993.99 bmeHumidity : 17.98 bmeGas : 28.78 bmeAltitude : 161.60
2021-12-22 15:39:15	scdCo2 : 1006 scdTemperature : 30.42 scdHumidity : 23.43	 bmeTemperature : 32.70 bmePressure : 993.99 bmeHumidity : 17.95 bmeGas : 29.14 bmeAltitude : 161.52
2021-12-22 15:39:20	scdCo2 : 1008 scdTemperature : 30.41 scdHumidity : 23.40	 bmeTemperature : 32.71 bmePressure : 994.00 bmeHumidity : 18.14 bmeGas : 29.54 bmeAltitude : 161.43
2021-12-22 15:39:26	scdCo2 : 1014 scdTemperature : 30.41 scdHumidity : 23.41	 bmeTemperature : 32.71 bmePressure : 994.03 bmeHumidity : 18.09 bmeGas : 29.68 bmeAltitude : 161.18
2021-12-22 15:39:32	scdCo2 : 1013 scdTemperature : 30.40 scdHumidity : 23.39	 bmeTemperature : 32.69 bmePressure : 994.04 bmeHumidity : 18.08 bmeGas : 30.17 bmeAltitude : 161.26
2021-12-22 15:39:38	scdCo2 : 1012 scdTemperature : 30.42 scdHumidity : 23.34	 bmeTemperature : 32.70 bmePressure : 994.03 bmeHumidity : 18.11 bmeGas : 30.34 bmeAltitude : 161.35
2021-12-22 15:39:44	scdCo2 : 1011 scdTemperature : 30.47 scdHumidity : 23.38	 bmeTemperature : 32.72 bmePressure : 994.02 bmeHumidity : 18.08 bmeGas : 30.73 bmeAltitude : 161.43
2021-12-22 15:39:49	scdCo2 : 1012 scdTemperature : 30.48 scdHumidity : 23.29	 bmeTemperature : 32.76 bmePressure : 994.01 bmeHumidity : 17.95 bmeGas : 31.05 bmeAltitude : 161.43
2021-12-22 15:39:55	scdCo2 : 1012 scdTemperature : 30.52 scdHumidity : 23.21	 bmeTemperature : 32.78 bmePressure : 994.00 bmeHumidity : 17.91 bmeGas : 31.57 bmeAltitude : 161.52
2021-12-22 15:40:01	scdCo2 : 1012 scdTemperature : 30.53 scdHumidity : 23.18	 bmeTemperature : 32.78 bmePressure : 994.01 bmeHumidity : 18.01 bmeGas : 31.69 bmeAltitude : 161.43
2021-12-22 15:40:07	scdCo2 : 1011 scdTemperature : 30.52 scdHumidity : 23.24	 bmeTemperature : 32.77 bmePressure : 994.01 bmeHumidity : 18.14 bmeGas : 31.86 bmeAltitude : 161.35
2021-12-22 15:40:13	scdCo2 : 1011 scdTemperature : 30.56 scdHumidity : 23.22	 bmeTemperature : 32.77 bmePressure : 994.02 bmeHumidity : 18.28 bmeGas : 32.19 bmeAltitude : 161.43
2021-12-22 15:40:18	scdCo2 : 1011 scdTemperature : 30.55 scdHumidity : 23.21	 bmeTemperature : 32.79 bmePressure : 994.01 bmeHumidity : 18.37 bmeGas : 32.54 bmeAltitude : 161.43
2021-12-22 15:40:24	scdCo2 : 1010 scdTemperature : 30.60 scdHumidity : 23.23	 bmeTemperature : 32.83 bmePressure : 994.02 bmeHumidity : 18.40 bmeGas : 32.76 bmeAltitude : 161.35
2021-12-22 15:40:30	scdCo2 : 1011 scdTemperature : 30.61 scdHumidity : 23.26	 bmeTemperature : 32.86 bmePressure : 994.02 bmeHumidity : 18.29 bmeGas : 33.04 bmeAltitude : 161.43
2021-12-22 15:40:36	scdCo2 : 1012 scdTemperature : 30.61 scdHumidity : 23.19	 bmeTemperature : 32.89 bmePressure : 994.01 bmeHumidity : 18.23 bmeGas : 33.35 bmeAltitude : 161.35
2021-12-22 15:40:42	scdCo2 : 1012 scdTemperature : 30.63 scdHumidity : 23.28	 bmeTemperature : 32.91 bmePressure : 994.01 bmeHumidity : 18.00 bmeGas : 33.59 bmeAltitude : 161.52
2021-12-22 15:40:47	scdCo2 : 1012 scdTemperature : 30.62 scdHumidity : 23.16	 bmeTemperature : 32.92 bmePressure : 994.01 bmeHumidity : 17.85 bmeGas : 33.99 bmeAltitude : 161.35
2021-12-22 15:40:53	scdCo2 : 1012 scdTemperature : 30.67 scdHumidity : 23.14	 bmeTemperature : 32.92 bmePressure : 994.02 bmeHumidity : 17.75 bmeGas : 34.51 bmeAltitude : 161.35
2021-12-22 15:40:59	scdCo2 : 1012 scdTemperature : 30.66 scdHumidity : 23.06	 bmeTemperature : 32.90 bmePressure : 994.00 bmeHumidity : 17.62 bmeGas : 34.57 bmeAltitude : 161.52
2021-12-22 15:41:05	scdCo2 : 1013 scdTemperature : 30.64 scdHumidity : 23.03	 bmeTemperature : 32.87 bmePressure : 994.00 bmeHumidity : 17.81 bmeGas : 34.79 bmeAltitude : 161.52
2021-12-22 15:41:11	scdCo2 : 1013 scdTemperature : 30.62 scdHumidity : 22.98	 bmeTemperature : 32.85 bmePressure : 993.99 bmeHumidity : 17.88 bmeGas : 35.16 bmeAltitude : 161.60
2021-12-22 15:41:16	scdCo2 : 1013 scdTemperature : 30.67 scdHumidity : 22.93	 bmeTemperature : 32.85 bmePressure : 993.99 bmeHumidity : 17.88 bmeGas : 35.34 bmeAltitude : 161.52
2021-12-22 15:41:22	scdCo2 : 1012 scdTemperature : 30.68 scdHumidity : 22.97	 bmeTemperature : 32.86 bmePressure : 993.99 bmeHumidity : 17.90 bmeGas : 35.81 bmeAltitude : 161.52
2021-12-22 15:41:28	scdCo2 : 1012 scdTemperature : 30.69 scdHumidity : 22.99	 bmeTemperature : 32.87 bmePressure : 994.00 bmeHumidity : 17.90 bmeGas : 36.06 bmeAltitude : 161.60
2021-12-22 15:41:34	scdCo2 : 1011 scdTemperature : 30.69 scdHumidity : 22.89	 bmeTemperature : 32.87 bmePressure : 994.00 bmeHumidity : 17.92 bmeGas : 36.06 bmeAltitude : 161.52
2021-12-22 15:41:40	scdCo2 : 1010 scdTemperature : 30.65 scdHumidity : 22.96	 bmeTemperature : 32.87 bmePressure : 994.00 bmeHumidity : 17.90 bmeGas : 36.46 bmeAltitude : 161.43
2021-12-22 15:41:45	scdCo2 : 1011 scdTemperature : 30.72 scdHumidity : 22.86	 bmeTemperature : 32.88 bmePressure : 994.01 bmeHumidity : 17.88 bmeGas : 36.64 bmeAltitude : 161.35
2021-12-22 15:41:51	scdCo2 : 1009 scdTemperature : 30.73 scdHumidity : 22.78	 bmeTemperature : 32.90 bmePressure : 994.03 bmeHumidity : 17.83 bmeGas : 36.77 bmeAltitude : 161.26
2021-12-22 15:41:57	scdCo2 : 1009 scdTemperature : 30.73 scdHumidity : 22.83	 bmeTemperature : 32.91 bmePressure : 994.02 bmeHumidity : 17.93 bmeGas : 37.12 bmeAltitude : 161.26
2021-12-22 15:42:03	scdCo2 : 1008 scdTemperature : 30.73 scdHumidity : 22.82	 bmeTemperature : 32.92 bmePressure : 994.03 bmeHumidity : 18.08 bmeGas : 37.19 bmeAltitude : 161.26
2021-12-22 15:42:09	scdCo2 : 1008 scdTemperature : 30.74 scdHumidity : 22.79	 bmeTemperature : 32.90 bmePressure : 994.04 bmeHumidity : 18.19 bmeGas : 37.48 bmeAltitude : 161.09
2021-12-22 15:42:14	scdCo2 : 1008 scdTemperature : 30.70 scdHumidity : 22.91	 bmeTemperature : 32.89 bmePressure : 994.06 bmeHumidity : 18.29 bmeGas : 37.95 bmeAltitude : 161.01
